2025-05	2025-06	2025-07	2025-08	2025-09	2025-10	2025-11	2024-07	2024-08	2024-09	2024-10	2024-11	2024-12	2025-01	2025-02	2025-03	2025-04
Theor.	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.	Fahrten	Bezahlt	Diff.
B-AJ361	2.100 €	0 €	2.100 €	84	-	-	616	-	250 €	590	-	250 €	1374	-	400 €	1119	-	400 €	907	-	400 €	741	-	400 €	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
B-CB8082	5.950 €	1.400 €	4.550 €	872	400 €	-	757	150 €	250 €	1041	-	400 €	749	-	400 €	452	-	250 €	145	-	-	932	150 €	250 €	596	-	250 €	421	-	250 €	1348	-	400 €	1210	-	400 €	1167	-	400 €	1307	-	400 €	772	550 €	-150 €	700	-	400 €	702	150 €	250 €	769	-	400 €
B-ER3140	5.500 €	2.200 €	3.300 €	969	400 €	-	931	400 €	-	738	-	400 €	815	-	400 €	127	-	-	563	150 €	100 €	501	150 €	100 €	695	-	250 €	830	-	400 €	1012	-	400 €	852	-	400 €	749	-	400 €	576	-	250 €	610	300 €	-50 €	632	-	250 €	871	400 €	-	984	400 €	-
B-ER3162	6.800 €	3.100 €	3.700 €	953	400 €	-	794	150 €	250 €	794	250 €	150 €	701	-	400 €	806	-	400 €	1063	400 €	-	868	150 €	250 €	1075	-	400 €	1120	-	400 €	1114	-	400 €	1054	-	400 €	1012	-	400 €	933	-	400 €	912	800 €	-400 €	743	150 €	250 €	1197	400 €	-	921	400 €	-
B-ER3163	4.550 €	550 €	4.000 €	589	-	250 €	713	-	400 €	167	-	-	683	-	250 €	348	-	250 €	140	-	-	387	-	250 €	842	-	400 €	1119	-	400 €	1230	-	400 €	1114	-	400 €	1231	-	400 €	1214	-	400 €	423	550 €	-300 €	538	-	250 €	152	-	-	343	-	250 €
B-ER3402	6.500 €	3.100 €	3.400 €	1270	400 €	-	543	150 €	100 €	635	-	250 €	826	-	400 €	964	-	400 €	1082	400 €	-	795	150 €	250 €	1204	-	400 €	1283	-	400 €	1158	-	400 €	1347	-	400 €	1182	-	400 €	1203	-	400 €	947	800 €	-400 €	1152	400 €	-	1305	400 €	-	1149	400 €	-
B-ER3602	6.650 €	3.100 €	3.550 €	1396	400 €	-	1226	400 €	-	955	-	400 €	337	-	250 €	1109	-	400 €	1236	400 €	-	1141	150 €	250 €	1065	-	400 €	1510	-	400 €	1332	-	400 €	1224	-	400 €	1326	-	400 €	1331	-	400 €	1279	800 €	-400 €	713	150 €	250 €	1342	400 €	-	1370	400 €	-
B-ER3902	6.200 €	1.500 €	4.700 €	1157	400 €	-	412	150 €	100 €	508	-	250 €	1141	-	400 €	718	-	400 €	882	400 €	-	250	-	250 €	894	-	400 €	845	-	400 €	965	-	400 €	1076	-	400 €	1046	-	400 €	1058	-	400 €	1039	400 €	-	1007	-	400 €	661	150 €	100 €	1111	-	400 €
B-ER4102	6.200 €	2.300 €	3.900 €	867	400 €	-	946	400 €	-	1349	-	400 €	1226	-	400 €	1026	-	400 €	946	400 €	-	780	-	400 €	908	-	400 €	733	-	400 €	551	-	250 €	444	-	250 €	739	-	400 €	822	-	400 €	424	950 €	-700 €	965	-	400 €	834	150 €	250 €	676	-	250 €
B-ER4502	6.050 €	1.800 €	4.250 €	1278	-	400 €	820	150 €	250 €	1349	250 €	150 €	1502	-	400 €	933	-	400 €	905	400 €	-	910	150 €	250 €	447	-	250 €	438	-	250 €	732	-	400 €	833	-	400 €	875	-	400 €	689	-	250 €	697	300 €	-50 €	1361	-	400 €	1370	400 €	-	636	150 €	100 €
